Gen1_id,Gen2_id,Gen3_id,Gen4_id,Gen4,Gen3,Gen2,Gen1,id_0_parent
10,2,32354,NA,NA,Nonfinancial Corporations,Productivity & Costs,"Population, Employment, & Labor Markets",0
10,2,32351,NA,NA,Nonfarm Business,Productivity & Costs,"Population, Employment, & Labor Markets",0
10,2,32349,32353,Nondurable Goods,Manufacturing,Productivity & Costs,"Population, Employment, & Labor Markets",0
10,2,32349,32352,Durable Goods,Manufacturing,Productivity & Costs,"Population, Employment, & Labor Markets",0
10,12,32447,NA,NA,Unemployment Rate,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32445,NA,NA,Employment Population Ratio,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32446,NA,NA,Unemployment Level,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,33501,NA,NA,Earnings,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32449,NA,NA,Labor Force Participation Rate,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32450,NA,NA,Multiple Jobholders,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32453,NA,NA,Entrants and Reentrants,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32444,NA,NA,Employment,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32452,NA,NA,Losers and Leavers,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32451,NA,NA,Duration of Unemployment,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,11,32315,NA,NA,Wholesale Trade,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32321,NA,NA,Professional and Business Services,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,32240,NA,NA,NA,NA,Weekly Initial Claims,"Population, Employment, & Labor Markets",0
10,32241,32243,NA,NA,Job Openings (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,11,32311,NA,NA,Manufacturing,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32306,NA,NA,Total Private,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32307,NA,NA,Goods-Producing,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32308,NA,NA,Private Service-Providing,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32310,NA,NA,Construction,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32312,NA,NA,Durable Goods,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32317,NA,NA,Transportation and Warehousing,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32318,NA,NA,Utilities,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32319,NA,NA,Information,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,12,32448,NA,NA,Not in Labor Force,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,32442,NA,NA,Civilian Labor Force,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,11,32309,NA,NA,Mining and Logging,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32323,NA,NA,Leisure and Hospitality,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32320,NA,NA,Financial Activities,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32325,NA,NA,Government,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32313,NA,NA,Nondurable Goods,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32305,NA,NA,Total Nonfarm,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32324,NA,NA,Other Services,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32314,NA,NA,"Trade, Transportation, and Utilities",Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32316,NA,NA,Retail Trade,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32322,NA,NA,Education and Health Services,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,11,32326,NA,NA,Service-Providing,Current Employment Statistics (Establishment Survey),"Population, Employment, & Labor Markets",0
10,32241,32248,NA,NA,Layoffs and Discharges (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,32241,32246,NA,NA,Total Separations (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,12,32443,NA,NA,Civilian Labor Force Participation Rate,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,12,33502,NA,NA,Labor Force Status Flows,Current Population Survey (Household Survey),"Population, Employment, & Labor Markets",0
10,33831,NA,NA,NA,NA,Minimum Wage,"Population, Employment, & Labor Markets",0
10,104,33735,NA,NA,Poverty Measures,Population,"Population, Employment, & Labor Markets",0
10,32241,32247,NA,NA,Quits (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,32241,32245,NA,NA,Hires (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,33500,NA,NA,NA,NA,Education,"Population, Employment, & Labor Markets",0
10,33509,NA,NA,NA,NA,Labor Market Conditions,"Population, Employment, & Labor Markets",0
10,104,33514,NA,NA,Supplemental Nutrition Assistance Program,Population,"Population, Employment, & Labor Markets",0
10,33001,NA,NA,NA,NA,Income Distribution,"Population, Employment, & Labor Markets",0
10,32241,32249,NA,NA,Other Separations (Levels and Rates),Job Openings and Labor Turnover (JOLTS),"Population, Employment, & Labor Markets",0
10,32250,NA,NA,NA,NA,ADP Employment,"Population, Employment, & Labor Markets",0
10,33731,NA,NA,NA,NA,Tax Data,"Population, Employment, & Labor Markets",0
3008,27281,151,28041,Counties,Indiana,States,U.S. Regional Data,0
3008,27281,154,33464,Metropolitan Areas,Missouri,States,U.S. Regional Data,0
3008,27281,27322,29682,Counties,Rhode Island,States,U.S. Regional Data,0
3008,27281,27283,33745,Metropolitan Divisions,Alaska,States,U.S. Regional Data,0
3008,27281,27322,30879,MSAs,Rhode Island,States,U.S. Regional Data,0
3008,27281,152,28340,Counties,Kentucky,States,U.S. Regional Data,0
3008,27281,27318,29498,Counties,Oklahoma,States,U.S. Regional Data,0
3008,27281,27332,30968,MSAs,West Virginia,States,U.S. Regional Data,0
3008,27281,151,33157,Metropolitan Divisions,Indiana,States,U.S. Regional Data,0
3008,27281,153,30756,MSAs,Mississippi,States,U.S. Regional Data,0
3008,27281,152,30695,MSAs,Kentucky,States,U.S. Regional Data,0
3008,27281,27284,27429,Counties,Arizona,States,U.S. Regional Data,0
3008,27281,27290,33177,Metropolitan Divisions,District of Columbia,States,U.S. Regional Data,0
3008,27281,27332,32925,CPI for MSAs and Consolidated MSAs,West Virginia,States,U.S. Regional Data,0
3008,27281,27317,32918,CPI for MSAs and Consolidated MSAs,Ohio,States,U.S. Regional Data,0
3008,27281,152,32932,CPI for MSAs and Consolidated MSAs,Kentucky,States,U.S. Regional Data,0
3008,27281,27333,30979,MSAs,Wisconsin,States,U.S. Regional Data,0
3008,27281,27318,30849,MSAs,Oklahoma,States,U.S. Regional Data,0
3008,27281,27324,29735,Counties,South Dakota,States,U.S. Regional Data,0
3008,27281,27288,32872,CPI for MSAs and Consolidated MSAs,Connecticut,States,U.S. Regional Data,0
3008,27281,27286,30560,MSAs,California,States,U.S. Regional Data,0
3008,27281,153,28755,Counties,Mississippi,States,U.S. Regional Data,0
3008,27281,27320,30861,MSAs,Pennsylvania,States,U.S. Regional Data,0
3008,27281,27286,27521,Counties,California,States,U.S. Regional Data,0
3008,27281,154,32891,CPI for MSAs and Consolidated MSAs,Missouri,States,U.S. Regional Data,0
3008,27281,27320,33472,Metropolitan Areas,Pennsylvania,States,U.S. Regional Data,0
3008,27281,27291,27659,Counties,Florida,States,U.S. Regional Data,0
3008,27281,27288,27644,Counties,Connecticut,States,U.S. Regional Data,0
3008,27281,27322,32087,New England City and Town Areas,Rhode Island,States,U.S. Regional Data,0
3008,27281,27323,29688,Counties,South Carolina,States,U.S. Regional Data,0
3008,27281,27330,30942,MSAs,Virginia,States,U.S. Regional Data,0
3008,27281,27284,30545,MSAs,Arizona,States,U.S. Regional Data,0
3008,27281,27284,32942,CPI for MSAs and Consolidated MSAs,Arizona,States,U.S. Regional Data,0
3008,27281,27330,33484,Metropolitan Areas,Virginia,States,U.S. Regional Data,0
3008,27281,27331,30336,Counties,Washington,States,U.S. Regional Data,0
3008,27281,27331,30955,MSAs,Washington,States,U.S. Regional Data,0
3008,27281,27286,32903,CPI for MSAs and Consolidated MSAs,California,States,U.S. Regional Data,0
3008,27281,27287,32944,CPI for MSAs and Consolidated MSAs,Colorado,States,U.S. Regional Data,0
3008,27281,27328,30934,MSAs,Utah,States,U.S. Regional Data,0
3008,27281,154,30762,MSAs,Missouri,States,U.S. Regional Data,0
3008,27281,150,32883,CPI for MSAs and Consolidated MSAs,Illinois,States,U.S. Regional Data,0
3008,27281,27304,28583,Counties,Michigan,States,U.S. Regional Data,0
3008,27281,27317,30832,MSAs,Ohio,States,U.S. Regional Data,0
3008,27281,27334,30505,Counties,Wyoming,States,U.S. Regional Data,0
3008,27281,27333,32887,CPI for MSAs and Consolidated MSAs,Wisconsin,States,U.S. Regional Data,0
3008,27281,27319,29576,Counties,Oregon,States,U.S. Regional Data,0
3008,27281,27319,30854,MSAs,Oregon,States,U.S. Regional Data,0
3008,27281,27319,32937,CPI for MSAs and Consolidated MSAs,Oregon,States,U.S. Regional Data,0
3008,27281,27320,29613,Counties,Pennsylvania,States,U.S. Regional Data,0
3008,27281,27290,33507,Counties,District of Columbia,States,U.S. Regional Data,0
3008,27281,27328,30154,Counties,Utah,States,U.S. Regional Data,0
3008,27281,27287,30587,MSAs,Colorado,States,U.S. Regional Data,0
3008,27281,27331,33172,Metropolitan Divisions,Washington,States,U.S. Regional Data,0
3008,27281,27334,30995,MSAs,Wyoming,States,U.S. Regional Data,0
3008,27281,27332,30376,Counties,West Virginia,States,U.S. Regional Data,0
3008,27281,33504,33505,Counties,Puerto Rico,States,U.S. Regional Data,0
3008,27281,27303,32911,CPI for MSAs and Consolidated MSAs,Massachusetts,States,U.S. Regional Data,0
3008,27281,27323,30881,MSAs,South Carolina,States,U.S. Regional Data,0
3008,32043,32045,32051,Census Divisions,Northeast,Census Regions,U.S. Regional Data,0
3008,27281,27324,30892,MSAs,South Dakota,States,U.S. Regional Data,0
3008,27281,27326,29898,Counties,Texas,States,U.S. Regional Data,0
3008,27281,27326,30907,MSAs,Texas,States,U.S. Regional Data,0
3008,27281,27326,32897,CPI for MSAs and Consolidated MSAs,Texas,States,U.S. Regional Data,0
3008,27281,27326,33147,Metropolitan Divisions,Texas,States,U.S. Regional Data,0
3008,27281,27320,33167,Metropolitan Divisions,Pennsylvania,States,U.S. Regional Data,0
3008,32061,32066,NA,NA,Plains,BEA Regions,U.S. Regional Data,0
3008,27281,27286,33159,Metropolitan Divisions,California,States,U.S. Regional Data,0
3008,27281,27329,32088,New England City and Town Areas,Vermont,States,U.S. Regional Data,0
3008,27281,27329,30940,MSAs,Vermont,States,U.S. Regional Data,0
3008,27281,27330,30199,Counties,Virginia,States,U.S. Regional Data,0
3008,27281,27283,30542,MSAs,Alaska,States,U.S. Regional Data,0
3008,27281,27314,33164,Metropolitan Divisions,New York,States,U.S. Regional Data,0
3008,27281,27304,30732,MSAs,Michigan,States,U.S. Regional Data,0
3008,27281,27314,30799,MSAs,New York,States,U.S. Regional Data,0
3008,27281,27314,32868,CPI for MSAs and Consolidated MSAs,New York,States,U.S. Regional Data,0
3008,27281,27316,29355,Counties,North Dakota,States,U.S. Regional Data,0
3008,27281,149,27445,Counties,Arkansas,States,U.S. Regional Data,0
3008,27281,27317,29409,Counties,Ohio,States,U.S. Regional Data,0
3008,27281,154,28838,Counties,Missouri,States,U.S. Regional Data,0
3008,32071,32153,32194,MSAs in District,New York,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32149,32173,Counties in District,Cleveland,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32148,32168,Counties in District,Chicago,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32148,32169,MSAs in District,Chicago,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32156,32208,Counties in District,San Francisco,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,27305,28667,Counties,Minnesota,States,U.S. Regional Data,0
3008,27281,27305,30748,MSAs,Minnesota,States,U.S. Regional Data,0
3008,27281,33605,NA,NA,Virgin Islands,States,U.S. Regional Data,0
3008,27281,27331,32905,CPI for MSAs and Consolidated MSAs,Washington,States,U.S. Regional Data,0
3008,27281,27314,29191,Counties,New York,States,U.S. Regional Data,0
3008,27281,27303,33134,Metropolitan Divisions,Massachusetts,States,U.S. Regional Data,0
3008,27281,27320,32874,CPI for MSAs and Consolidated MSAs,Pennsylvania,States,U.S. Regional Data,0
3008,27281,27287,27580,Counties,Colorado,States,U.S. Regional Data,0
3008,32071,32147,32163,Counties in District,Boston,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32148,32167,States in District,Chicago,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,133,32073,States in District,St. Louis,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32154,32199,MSAs in District,Philadelphia,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,150,33144,Metropolitan Divisions,Illinois,States,U.S. Regional Data,0
3008,27281,27302,28543,Counties,Maryland,States,U.S. Regional Data,0
3008,27281,27309,30775,MSAs,Nebraska,States,U.S. Regional Data,0
3008,32043,32047,32058,Census Divisions,West,Census Regions,U.S. Regional Data,0
3008,32043,32046,32054,Census Divisions,South,Census Regions,U.S. Regional Data,0
3008,32043,32044,32048,Census Divisions,Midwest,Census Regions,U.S. Regional Data,0
3008,32061,32069,NA,NA,Southwest,BEA Regions,U.S. Regional Data,0
3008,32061,32067,NA,NA,Rocky Mountain,BEA Regions,U.S. Regional Data,0
3008,32061,32064,NA,NA,Mideast,BEA Regions,U.S. Regional Data,0
3008,27281,149,30551,MSAs,Arkansas,States,U.S. Regional Data,0
3008,27281,27329,30184,Counties,Vermont,States,U.S. Regional Data,0
3008,32061,32068,NA,NA,Southeast,BEA Regions,U.S. Regional Data,0
3008,32061,32062,NA,NA,Far West,BEA Regions,U.S. Regional Data,0
3008,32061,32065,NA,NA,New England,BEA Regions,U.S. Regional Data,0
3008,32071,32147,32162,States in District,Boston,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32146,32159,MSAs in District,Atlanta,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32154,32197,States in District,Philadelphia,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32149,32174,MSAs in District,Cleveland,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32147,32164,MSAs in District,Boston,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,133,32074,MSAs in District,St. Louis,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32156,32207,States in District,San Francisco,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32151,32182,States in District,Kansas City,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32155,32204,MSAs in District,Richmond,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,27302,33452,Metropolitan Areas,Maryland,States,U.S. Regional Data,0
3008,27281,27302,33130,Metropolitan Divisions,Maryland,States,U.S. Regional Data,0
3008,27281,27302,30718,MSAs,Maryland,States,U.S. Regional Data,0
3008,27281,27302,32881,CPI for MSAs and Consolidated MSAs,Maryland,States,U.S. Regional Data,0
3008,27281,27303,28568,Counties,Massachusetts,States,U.S. Regional Data,0
3008,32071,32146,32158,Counties in District,Atlanta,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32153,32193,Counties in District,New York,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,133,32072,Counties in District,St. Louis,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32155,32202,States in District,Richmond,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32149,32172,States in District,Cleveland,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32150,32179,MSAs in District,Dallas,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,33504,33475,MSAs,Puerto Rico,States,U.S. Regional Data,0
3008,27281,27313,30794,MSAs,New Mexico,States,U.S. Regional Data,0
3008,27281,27292,30625,MSAs,Georgia,States,U.S. Regional Data,0
3008,27281,27292,32899,CPI for MSAs and Consolidated MSAs,Georgia,States,U.S. Regional Data,0
3008,27281,27289,27653,Counties,Delaware,States,U.S. Regional Data,0
3008,27281,27283,32907,CPI for MSAs and Consolidated MSAs,Alaska,States,U.S. Regional Data,0
3008,27281,27292,27727,Counties,Georgia,States,U.S. Regional Data,0
3008,27281,27309,29012,Counties,Nebraska,States,U.S. Regional Data,0
3008,27281,27290,30603,MSAs,District of Columbia,States,U.S. Regional Data,0
3008,27281,27310,29106,Counties,Nevada,States,U.S. Regional Data,0
3008,27281,27310,30779,MSAs,Nevada,States,U.S. Regional Data,0
3008,27281,27293,27887,Counties,Hawaii,States,U.S. Regional Data,0
3008,27281,27293,30641,MSAs,Hawaii,States,U.S. Regional Data,0
3008,27281,27293,33715,Metropolitan Areas,Hawaii,States,U.S. Regional Data,0
3008,27281,27293,32940,CPI for MSAs and Consolidated MSAs,Hawaii,States,U.S. Regional Data,0
3008,27281,27290,32920,CPI for MSAs and Consolidated MSAs,District of Columbia,States,U.S. Regional Data,0
3008,32061,32063,NA,NA,Great Lakes,BEA Regions,U.S. Regional Data,0
3008,27281,27283,27403,Census Areas and Boroughs,Alaska,States,U.S. Regional Data,0
3008,27281,27291,30605,MSAs,Florida,States,U.S. Regional Data,0
3008,27281,27291,32901,CPI for MSAs and Consolidated MSAs,Florida,States,U.S. Regional Data,0
3008,27281,27282,30529,MSAs,Alabama,States,U.S. Regional Data,0
3008,27281,27333,30432,Counties,Wisconsin,States,U.S. Regional Data,0
3008,32849,32851,32856,"Population Size Class D (under 50,000)",Midwest Urban,BLS Regions,U.S. Regional Data,0
3008,32849,32853,32864,"Population Size Class A (over 1,500,000)",West Urban,BLS Regions,U.S. Regional Data,0
3008,32849,32851,32854,"Population Size Class A (over 1,500,000)",Midwest Urban,BLS Regions,U.S. Regional Data,0
3008,32849,32850,32857,"Population Size Class A (over 1,500,000)",Northeast Urban,BLS Regions,U.S. Regional Data,0
3008,32849,32851,32855,"Population Size Class B/C (between 50,000 and 1,500,000)",Midwest Urban,BLS Regions,U.S. Regional Data,0
3008,27281,27316,30828,MSAs,North Dakota,States,U.S. Regional Data,0
3008,32849,32852,32865,"Population Size Class B/C (between 50,000 and 1,500,000)",South Urban,BLS Regions,U.S. Regional Data,0
3008,27281,27315,30812,MSAs,North Carolina,States,U.S. Regional Data,0
3008,27281,27332,33181,Metropolitan Divisions,West Virginia,States,U.S. Regional Data,0
3008,32849,32862,NA,NA,"Population Size Class D (under 50,000)",BLS Regions,U.S. Regional Data,0
3008,32849,32850,32858,"Population Size Class B/C (between 50,000 and 1,500,000)",Northeast Urban,BLS Regions,U.S. Regional Data,0
3008,32849,32860,NA,NA,"Population Size Class A (over 1,500,000)",BLS Regions,U.S. Regional Data,0
3008,32849,32861,NA,NA,"Population Size Class B/C (between 50,000 and 1,500,000)",BLS Regions,U.S. Regional Data,0
3008,27281,27303,32085,New England City and Town Areas,Massachusetts,States,U.S. Regional Data,0
3008,27281,27303,30725,MSAs,Massachusetts,States,U.S. Regional Data,0
3008,27281,27333,33175,Metropolitan Divisions,Wisconsin,States,U.S. Regional Data,0
3008,27281,27289,30600,MSAs,Delaware,States,U.S. Regional Data,0
3008,27281,27289,32879,CPI for MSAs and Consolidated MSAs,Delaware,States,U.S. Regional Data,0
3008,32071,32152,32188,Counties in District,Minneapolis,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,27304,33150,Metropolitan Divisions,Michigan,States,U.S. Regional Data,0
3008,32071,32152,32189,MSAs in District,Minneapolis,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,27311,33170,Metropolitan Divisions,New Hampshire,States,U.S. Regional Data,0
3008,27281,150,27938,Counties,Illinois,States,U.S. Regional Data,0
3008,27281,150,30650,MSAs,Illinois,States,U.S. Regional Data,0
3008,27281,27305,32927,CPI for MSAs and Consolidated MSAs,Minnesota,States,U.S. Regional Data,0
3008,32071,32151,32184,MSAs in District,Kansas City,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32153,32192,States in District,New York,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32150,32177,States in District,Dallas,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32156,32209,MSAs in District,San Francisco,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32152,32187,States in District,Minneapolis,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32146,32157,States in District,Atlanta,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32155,32203,Counties in District,Richmond,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32150,32178,Counties in District,Dallas,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32154,32198,Counties in District,Philadelphia,Federal Reserve Districts,U.S. Regional Data,0
3008,32071,32151,32183,Counties in District,Kansas City,Federal Reserve Districts,U.S. Regional Data,0
3008,27281,27294,30643,MSAs,Idaho,States,U.S. Regional Data,0
3008,27281,27297,28134,Counties,Iowa,States,U.S. Regional Data,0
3008,27281,27297,30679,MSAs,Iowa,States,U.S. Regional Data,0
3008,27281,27298,28234,Counties,Kansas,States,U.S. Regional Data,0
3008,27281,27298,30689,MSAs,Kansas,States,U.S. Regional Data,0
3008,27281,27298,33462,Metropolitan Areas,Kansas,States,U.S. Regional Data,0
3008,27281,27330,32923,CPI for MSAs and Consolidated MSAs,Virginia,States,U.S. Regional Data,0
3008,27281,27330,33179,Metropolitan Divisions,Virginia,States,U.S. Regional Data,0
3008,27281,27301,28526,Counties,Maine,States,U.S. Regional Data,0
3008,27281,27301,32084,New England City and Town Areas,Maine,States,U.S. Regional Data,0
3008,27281,27301,30714,MSAs,Maine,States,U.S. Regional Data,0
3008,27281,27301,32915,CPI for MSAs and Consolidated MSAs,Maine,States,U.S. Regional Data,0
3008,27281,27294,27893,Counties,Idaho,States,U.S. Regional Data,0
3008,32233,32237,NA,NA,Southwest,Freddie Mac Regions,U.S. Regional Data,0
3008,32233,32236,NA,NA,North Central,Freddie Mac Regions,U.S. Regional Data,0
3008,32233,32234,NA,NA,Northeast,Freddie Mac Regions,U.S. Regional Data,0
3008,32233,32238,NA,NA,West,Freddie Mac Regions,U.S. Regional Data,0
3008,32233,32235,NA,NA,Southeast,Freddie Mac Regions,U.S. Regional Data,0
3008,27281,27288,32083,New England City and Town Areas,Connecticut,States,U.S. Regional Data,0
3008,27281,27313,29157,Counties,New Mexico,States,U.S. Regional Data,0
3008,27281,151,32885,CPI for MSAs and Consolidated MSAs,Indiana,States,U.S. Regional Data,0
3008,27281,27282,27335,Counties,Alabama,States,U.S. Regional Data,0
3008,27281,27288,30595,MSAs,Connecticut,States,U.S. Regional Data,0
3008,27281,151,30662,MSAs,Indiana,States,U.S. Regional Data,0
3008,27281,27289,33183,Metropolitan Divisions,Delaware,States,U.S. Regional Data,0
3008,27281,27311,32913,CPI for MSAs and Consolidated MSAs,New Hampshire,States,U.S. Regional Data,0
3008,27281,27315,29254,Counties,North Carolina,States,U.S. Regional Data,0
3008,27281,193,29802,Counties,Tennessee,States,U.S. Regional Data,0
3008,27281,27312,30786,MSAs,New Jersey,States,U.S. Regional Data,0
3008,27281,27312,32870,CPI for MSAs and Consolidated MSAs,New Jersey,States,U.S. Regional Data,0
3008,27281,27308,28954,Counties,Montana,States,U.S. Regional Data,0
3008,27281,27312,33467,Metropolitan Areas,New Jersey,States,U.S. Regional Data,0
3008,27281,27300,30705,MSAs,Louisiana,States,U.S. Regional Data,0
3008,27281,27308,30771,MSAs,Montana,States,U.S. Regional Data,0
3008,27281,27291,33153,Metropolitan Divisions,Florida,States,U.S. Regional Data,0
3008,27281,27300,28461,Parishes,Louisiana,States,U.S. Regional Data,0
3008,32849,32852,32863,"Population Size Class A (over 1,500,000)",South Urban,BLS Regions,U.S. Regional Data,0
3008,27281,193,30896,MSAs,Tennessee,States,U.S. Regional Data,0
3008,27281,27312,29135,Counties,New Jersey,States,U.S. Regional Data,0
3008,27281,27304,32889,CPI for MSAs and Consolidated MSAs,Michigan,States,U.S. Regional Data,0
3008,27281,27311,32086,New England City and Town Areas,New Hampshire,States,U.S. Regional Data,0
3008,32849,32852,32867,"Population Size Class D (under 50,000)",South Urban,BLS Regions,U.S. Regional Data,0
3008,27281,27311,29124,Counties,New Hampshire,States,U.S. Regional Data,0
3008,27281,27312,33138,Metropolitan Divisions,New Jersey,States,U.S. Regional Data,0
3008,27281,27311,30783,MSAs,New Hampshire,States,U.S. Regional Data,0
3008,27281,27314,33469,Metropolitan Areas,New York,States,U.S. Regional Data,0
3008,32849,32853,32866,"Population Size Class B/C (between 50,000 and 1,500,000)",West Urban,BLS Regions,U.S. Regional Data,0
32263,32264,32268,NA,NA,Canada,Countries,International Data,0
32263,32264,32270,NA,NA,Belgium,Countries,International Data,0
32263,32264,32334,NA,NA,Iceland,Countries,International Data,0
32263,32264,32271,NA,NA,Denmark,Countries,International Data,0
