id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,cat_id
BF4QNSANY,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for New York,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAOH,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Ohio,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:04-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAOK,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Oklahoma,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAOR,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Oregon,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,0,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAPA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Pennsylvania,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSARI,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Rhode Island,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSASC,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for South Carolina,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSASD,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for South Dakota,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSATN,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Tennessee,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSATX,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Texas,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2020-10-14 11:02:51-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAUS,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for the United States,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2020-10-14 11:01:05-05,5,16,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAUT,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Utah,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:44-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAVA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Virginia,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:44-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAVT,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Vermont,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:44-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAWA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Washington,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:42-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAWI,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Wisconsin,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:42-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAWV,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for West Virginia,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:42-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAWY,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Wyoming,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:28-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSAAK,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Alaska,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:03-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSAAL,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Alabama,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSAAR,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Arkansas,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,0,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSAAZ,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Arizona,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:03-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSACA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for California,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSACO,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Colorado,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:03-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSACT,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Connecticut,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSADC,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for District of Columbia,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:03-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSADE,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Delaware,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QSAFL,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Florida,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2019-07-31 14:18:11-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
